GenotypeModel,AttributionModel,Source,UR2006_num,Age,m,li,lc,uc,ui
Dirichlet,Linear,Other,-3,5+,0.015530745967597206,4.755569850210843e-5,6.326538162739548e-4,0.017332972267034466,0.07131370927687669
Dirichlet,Linear,Other,-3,<5,0.036326960696357075,6.678217851671775e-4,0.005262924535127126,0.046650230783425436,0.13832046331679873
Dirichlet,Linear,Other,-2,5+,0.006848034218247425,6.31091367978464e-5,5.890220060556586e-4,0.008593433253554677,0.028185579090429513
Dirichlet,Linear,Other,-2,<5,0.024451574468118988,0.00107020508357011,0.005619347066037549,0.03322527416922049,0.08100541052149961
Dirichlet,Linear,Other,-1,5+,0.0036034378194736293,7.296682329615872e-5,5.054819212171842e-4,0.004155352815332797,0.014276324916976606
Dirichlet,Linear,Other,-1,<5,0.017643847093116616,0.0014300849839354438,0.00520169100623527,0.024014766115638617,0.053956796568966736
Dirichlet,Linear,Other,0,5+,0.00224948287969254,6.282996634592019e-5,3.478121721312936e-4,0.0024564597837746045,0.008775298059049204
Dirichlet,Linear,Other,0,<5,0.013781261396002628,0.001421981306265277,0.004370886913326664,0.018835337037896274,0.041394537307885095
Dirichlet,Linear,Other,1,5+,0.0016314788518866812,3.366996153812799e-5,2.0108009595130115e-4,0.001777725438734717,0.0062954595404007335
Dirichlet,Linear,Other,1,<5,0.011592390779428424,8.498346698591973e-4,0.003105780877359566,0.01533252385731292,0.036619721102089206
Dirichlet,Linear,Other,2,5+,0.0013624632892390279,1.370853379336005e-5,1.0666910593394702e-4,0.0014664892304272995,0.005441965935568913
Dirichlet,Linear,Other,2,<5,0.010499843599014829,3.550226513949568e-4,0.0020722844759289917,0.013571995935919713,0.03530044710433717
Dirichlet,Linear,Other,3,5+,0.0013088545509509363,4.38160499600132e-6,5.386246841842656e-5,0.0012907044383583606,0.0058205882179871325
Dirichlet,Linear,Other,3,<5,0.010270623769904567,1.271283932792236e-4,0.001185435946594855,0.012296916707366367,0.03831551024173299
Dirichlet,Linear,Poultry,-3,5+,0.35024845072449606,0.2469895500572452,0.3067932399326967,0.39228385086011536,0.4595210816188705
Dirichlet,Linear,Poultry,-3,<5,0.19855065154407217,0.06527913612572231,0.12729926545264209,0.25570423926847646,0.376184903178748
Dirichlet,Linear,Poultry,-2,5+,0.3937730350574556,0.30442701423448293,0.3570403749000095,0.43021276624772015,0.48546953151924394
Dirichlet,Linear,Poultry,-2,<5,0.2670494738059599,0.12175430494521158,0.19866100399901335,0.3295381350233351,0.433347842855403
Dirichlet,Linear,Poultry,-1,5+,0.43465316451805586,0.3595705930834973,0.40447440979426,0.46509081739291425,0.5108754076067785
Dirichlet,Linear,Poultry,-1,<5,0.3495816291588838,0.2054179656808486,0.28717432151972677,0.4092543386543134,0.5002252673177674
Dirichlet,Linear,Poultry,0,5+,0.4758836175134162,0.41569612723715466,0.45093432562302055,0.5005040839687478,0.5374898076527607
Dirichlet,Linear,Poultry,0,<5,0.44475909244979633,0.3089668298450591,0.3876203218704447,0.5009320784799373,0.5836603955176087
Dirichlet,Linear,Poultry,1,5+,0.5173379852756436,0.4666740661716523,0.4959164513334634,0.5383795356520211,0.5703407130974343
Dirichlet,Linear,Poultry,1,<5,0.5445115771053554,0.40880817295995725,0.4854807677487818,0.5998222635481931,0.6905642049942003
Dirichlet,Linear,Poultry,2,5+,0.558403549557293,0.5079311732297963,0.5367719579975765,0.5792568040912108,0.6101547646075505
Dirichlet,Linear,Poultry,2,<5,0.6377824069184292,0.4866833162962502,0.5727039852059793,0.70059505861765,0.795424128361893
Dirichlet,Linear,Poultry,3,5+,0.5982545757360116,0.5400257115637154,0.57298917451326,0.6225121592465126,0.6585115998512951
Dirichlet,Linear,Poultry,3,<5,0.7158935781635636,0.5449045472359108,0.6477914007375497,0.7872108666574131,0.8752575188556112
Dirichlet,Linear,Ruminants,-3,5+,0.6247119904088113,0.5066538243641194,0.5807685755651156,0.6724345061853827,0.7321813877283387
Dirichlet,Linear,Ruminants,-3,<5,0.7486011813591164,0.5394507871910859,0.6807224930974057,0.8311942594179152,0.9080698796982901
Dirichlet,Linear,Ruminants,-2,5+,0.5983935200354599,0.5067051324428651,0.5618540133133997,0.6361278682041654,0.687908859423997
Dirichlet,Linear,Ruminants,-2,<5,0.7043488323271431,0.5333442980191522,0.6404366700735972,0.774255035835419,0.8575356962729849
