identity,Age,UR2006_num,p,Source,GenotypeModel,AttributionModel
358,"[5, Inf)",3,0.4018027870171447,Ruminants,Island,Linear
1642,"[5, Inf)",3,0.4005250017835367,Ruminants,Island,Linear
1685,"[5, Inf)",3,0.3829795631527027,Ruminants,Island,Linear
2495,"[5, Inf)",3,0.42671412394707586,Ruminants,Island,Linear
2765,"[5, Inf)",3,0.4098162879269713,Ruminants,Island,Linear
3958,"[5, Inf)",3,0.38093507542622923,Ruminants,Island,Linear
4322,"[5, Inf)",3,0.4287660365343456,Ruminants,Island,Linear
4764,"[5, Inf)",3,0.40746123396278994,Ruminants,Island,Linear
4832,"[5, Inf)",3,0.41368964146810167,Ruminants,Island,Linear
5903,"[5, Inf)",3,0.4087820771146485,Ruminants,Island,Linear
6097,"[5, Inf)",3,0.4508077892622892,Ruminants,Island,Linear
6596,"[5, Inf)",3,0.4052069421902263,Ruminants,Island,Linear
6982,"[5, Inf)",3,0.38649672400763846,Ruminants,Island,Linear
7149,"[5, Inf)",3,0.41989204514464284,Ruminants,Island,Linear
7724,"[5, Inf)",3,0.38844102992891893,Ruminants,Island,Linear
8520,"[5, Inf)",3,0.3897506642861842,Ruminants,Island,Linear
9054,"[5, Inf)",3,0.4068865031422699,Ruminants,Island,Linear
9635,"[5, Inf)",3,0.37573434463248273,Ruminants,Island,Linear
9903,"[5, Inf)",3,0.37857879543978334,Ruminants,Island,Linear
9996,"[5, Inf)",3,0.366255830325047,Ruminants,Island,Linear
358,"[5, Inf)",-1,0.539139105227671,Ruminants,Island,Linear
1642,"[5, Inf)",-1,0.5605358075533874,Ruminants,Island,Linear
1685,"[5, Inf)",-1,0.568035661584511,Ruminants,Island,Linear
2495,"[5, Inf)",-1,0.5939462740617272,Ruminants,Island,Linear
2765,"[5, Inf)",-1,0.5919714597656062,Ruminants,Island,Linear
3958,"[5, Inf)",-1,0.5572159856485752,Ruminants,Island,Linear
4322,"[5, Inf)",-1,0.6018778462686472,Ruminants,Island,Linear
4764,"[5, Inf)",-1,0.6589831916750236,Ruminants,Island,Linear
4832,"[5, Inf)",-1,0.5590030623144905,Ruminants,Island,Linear
5903,"[5, Inf)",-1,0.5213086883721071,Ruminants,Island,Linear
6097,"[5, Inf)",-1,0.589434991682486,Ruminants,Island,Linear
6596,"[5, Inf)",-1,0.5272971810795023,Ruminants,Island,Linear
6982,"[5, Inf)",-1,0.5695987106569134,Ruminants,Island,Linear
7149,"[5, Inf)",-1,0.5483924428274753,Ruminants,Island,Linear
7724,"[5, Inf)",-1,0.6324674737261172,Ruminants,Island,Linear
8520,"[5, Inf)",-1,0.5455126786863171,Ruminants,Island,Linear
9054,"[5, Inf)",-1,0.6049399802445149,Ruminants,Island,Linear
9635,"[5, Inf)",-1,0.5592190792036711,Ruminants,Island,Linear
