"Year","DHB","Population","Month","Count","PopulationInterpolated"
1997,"Hawke's Bay",NA,"January",36,NA
1998,"Hawke's Bay",NA,"January",46,NA
1999,"Hawke's Bay",NA,"January",43,NA
2000,"Hawke's Bay",NA,"January",37,NA
2001,"Hawke's Bay",NA,"January",48,NA
2002,"Hawke's Bay",NA,"January",66,NA
2003,"Hawke's Bay",NA,"January",82,NA
2004,"Hawke's Bay",NA,"January",73,NA
2005,"Hawke's Bay",NA,"January",58,NA
2006,"Hawke's Bay",152600,"January",82,151947
2007,"Hawke's Bay",153400,"January",73,153059
2008,"Hawke's Bay",154000,"January",41,153694
2009,"Hawke's Bay",155000,"January",43,154391
2010,"Hawke's Bay",156800,"January",48,155891
2011,"Hawke's Bay",157800,"January",26,157446
2012,"Hawke's Bay",158000,"January",41,157926
2013,"Hawke's Bay",158500,"January",31,158187
2014,"Hawke's Bay",159400,"January",24,158913
2015,"Hawke's Bay",160500,"January",27,159937
1997,"Whanganui",NA,"January",8,NA
1998,"Whanganui",NA,"January",8,NA
1999,"Whanganui",NA,"January",9,NA
2000,"Whanganui",NA,"January",12,NA
2001,"Whanganui",NA,"January",10,NA
2002,"Whanganui",NA,"January",24,NA
2003,"Whanganui",NA,"January",29,NA
2004,"Whanganui",NA,"January",37,NA
2005,"Whanganui",NA,"January",11,NA
2006,"Whanganui",64000,"January",27,64322
2007,"Whanganui",63500,"January",28,63726
2008,"Whanganui",63200,"January",7,63323
2009,"Whanganui",63100,"January",15,63131
2010,"Whanganui",63100,"January",17,63090
2011,"Whanganui",63000,"January",6,63110
2012,"Whanganui",62400,"January",12,62696
2013,"Whanganui",62300,"January",10,62307
2014,"Whanganui",62200,"January",13,62240
1997,"MidCentral",NA,"January",30,NA
1998,"MidCentral",NA,"January",34,NA
1999,"MidCentral",NA,"January",27,NA
2000,"MidCentral",NA,"January",29,NA
2001,"MidCentral",NA,"January",28,NA
2002,"MidCentral",NA,"January",44,NA
2003,"MidCentral",NA,"January",54,NA
2004,"MidCentral",NA,"January",35,NA
