"ST","ASP","GLN","GLT","GLY","PGM","TKT","UNC","Source","UR2006_num","UR2006","SampledDate","Imputed","Age"
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2007-01-08,0,NA
3299,33,39,44,82,113,43,17,"Sheep",NA,NA,2007-01-03,0,NA
3072,33,39,30,82,104,173,68,"Cattle",NA,NA,2007-01-03,0,NA
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2006-12-27,0,NA
3799,1,4,2,348,6,3,17,"Cattle",NA,NA,2006-12-18,0,NA
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2006-12-18,0,NA
3232,32,39,30,82,104,324,17,"Sheep",NA,NA,2006-12-18,0,NA
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2006-05-01,0,NA
3232,32,39,30,82,104,324,17,"Sheep",NA,NA,2006-12-11,0,NA
190,2,1,5,3,2,3,5,"Cattle",NA,NA,2006-12-06,0,NA
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2006-12-06,0,NA
2340,1,45,2,4,6,3,17,"Sheep",NA,NA,2006-12-06,2,NA
3222,33,283,44,82,189,44,17,"Cattle",NA,NA,2006-11-27,0,NA
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2006-05-01,0,NA
3072,33,39,30,82,104,173,68,"Cattle",NA,NA,2006-11-20,0,NA
3222,33,283,44,82,189,44,17,"Cattle",NA,NA,2006-11-15,0,NA
1115,53,39,30,81,118,44,36,"Cattle",NA,NA,2006-11-06,0,NA
3711,1,2,4,62,4,5,17,"Sheep",NA,NA,2006-11-06,0,NA
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2006-10-30,0,NA
3072,33,39,30,82,104,173,68,"Sheep",NA,NA,2011-07-21,0,NA
2350,2,4,1,2,2,5,5,"Cattle",NA,NA,2006-10-30,0,NA
393,24,17,2,10,23,68,5,"Sheep",NA,NA,2011-07-21,0,NA
2397,184,39,30,82,113,43,17,"Sheep",NA,NA,2011-07-21,0,NA
436,7,21,5,62,4,61,44,"Sheep",NA,NA,2011-07-16,1,NA
3222,33,283,44,82,189,44,17,"Sheep",NA,NA,2011-07-16,0,NA
