ST,Source,Model,m,lci,uci,ucl,lcl
5,Other,Dirichlet,0.23186587580264284,0.010172128288894855,0.7442780413794008,0.45403310554862,0.08338595627350827
5,Other,Island,0.23118727759209665,0.06874327208671872,0.541833557755153,0.34885276830757445,0.14345816682188817
5,Poultry,Dirichlet,0.13751529122459374,0.004582546317036413,0.5955282554222886,0.3038289409087639,0.043454456538158465
5,Poultry,Island,0.006993181232469189,0.0011030939835999039,0.03345259147814551,0.013728631415559092,0.00323283108459921
5,Ruminants,Dirichlet,0.1902588830688288,0.008116933301374278,0.6895334086687916,0.3920459028559805,0.06540428524518625
5,Ruminants,Island,0.5077743623478639,0.16938513563316487,0.8189756152069736,0.6626976290356323,0.34730728322346127
5,Water,Dirichlet,0.2717102432569622,0.012347396722424268,0.7799611098840596,0.5063175967896256,0.09910617205605832
5,Water,Island,0.21005518638271614,0.04742979278582848,0.5531174771536201,0.34238236688050405,0.11621302163833254
21,Other,Dirichlet,0.03404255214623668,0.0014016224079231431,0.16915365442075792,0.07783819359633729,0.01130624934681222
21,Other,Island,0.019721010749430487,0.011111958945279173,0.031021404772738872,0.024397879149448524,0.015688801891989547
21,Poultry,Dirichlet,0.2891470174589167,0.1529060417096608,0.46683857724361355,0.3617052985599769,0.22312724557775876
21,Poultry,Island,0.28011358196628167,0.26976635109852193,0.2905173038210732,0.28466936801684906,0.27563643378865693
21,Ruminants,Dirichlet,0.6059085279523321,0.415172276298423,0.7721257103919683,0.681370883551023,0.5227878757395786
21,Ruminants,Island,0.6515639308519954,0.6329699231032712,0.6679335823515977,0.6590743081645821,0.6438298242656985
21,Water,Dirichlet,0.040728119473933386,0.001529154004095439,0.19363584262189867,0.09001185447750842,0.01320505112243938
21,Water,Island,0.04784244250550809,0.029668415629239168,0.07001621630957755,0.057287234420418415,0.03935531302136763
22,Other,Dirichlet,0.23039567638067318,0.009511044459154247,0.7339779063911889,0.4476350870033684,0.07907810374489585
22,Other,Island,0.5339164044926508,0.29986188649069506,0.7602974728877383,0.6384781386062853,0.42754367828004297
22,Poultry,Dirichlet,0.1337610292668493,0.0051185983387521195,0.585839312987833,0.29632468657635364,0.044125369290984685
22,Poultry,Island,7.878596461766359e-6,1.0491999381942764e-6,4.192987238415863e-5,1.671556018972362e-5,3.545509396828184e-6
22,Ruminants,Dirichlet,0.18737295545514798,0.007812298528753994,0.687531749220819,0.39692880498313904,0.06455379780042583
22,Ruminants,Island,0.0032194673584135265,5.341749265356557e-4,0.015379144909512447,0.0065492141564981515,0.0015588244220669273
22,Water,Dirichlet,0.2821289217743455,0.013601239138865727,0.7815468602592859,0.5169972259496358,0.10677842411170888
22,Water,Island,0.46168361679711784,0.23537694658001307,0.6965302108396587,0.5684018034182142,0.3569125447749452
25,Other,Dirichlet,0.2029518978102688,0.03469203178470464,0.519613624034256,0.33070978608360346,0.10728682341983098
25,Other,Island,0.18908155663740028,0.176299118256654,0.20190529627267126,0.1946019965333313,0.18362987590659074
25,Poultry,Dirichlet,0.4115626990463259,0.1687719989910013,0.7117396559254501,0.5412913528858236,0.29440629053606504
25,Poultry,Island,0.5580869781677915,0.5413723745884801,0.574308792466486,0.565344971795211,0.5508962552306651
25,Ruminants,Dirichlet,0.07187779314743437,0.002691433671634745,0.32624453030899425,0.15754957831722372,0.023931641541503724
25,Ruminants,Island,0.021023789944162135,0.010738281300664763,0.03593863693486628,0.02695887130859312,0.01602489434617415
25,Water,Dirichlet,0.2435695407141136,0.040039311199890903,0.5722960143580519,0.381162138386492,0.13093201110782982
25,Water,Island,0.23137179384474196,0.21426657302443874,0.2475150451334484,0.2384440733168625,0.22384535417935453
38,Other,Dirichlet,0.07915685569060568,0.0032762560482616156,0.34451247132128976,0.1736568482919794,0.026918924095326556
38,Other,Island,0.03332890632746756,0.023964801258936817,0.044175710925355174,0.03773535900516382,0.029171318128751084
38,Poultry,Dirichlet,0.18699794535680864,0.046436808054419056,0.45464904732589917,0.28808861483609216,0.10926737813935383
38,Poultry,Island,0.1964882361688712,0.18846726584387374,0.20583909228385847,0.20023003098922204,0.1928955633809667
38,Ruminants,Dirichlet,0.44373434302385306,0.18017842270776194,0.7390943119124846,0.5737500086771936,0.3216094160198242
