"Month","Year","Count","Date"
2,2005,4,2005-02-01
3,2005,5,2005-03-01
4,2005,7,2005-04-01
5,2005,16,2005-05-01
6,2005,5,2005-06-01
7,2005,5,2005-07-01
8,2005,11,2005-08-01
9,2005,12,2005-09-01
10,2005,16,2005-10-01
11,2005,36,2005-11-01
12,2005,20,2005-12-01
1,2006,18,2006-01-01
2,2006,16,2006-02-01
3,2006,16,2006-03-01
4,2006,9,2006-04-01
5,2006,24,2006-05-01
6,2006,23,2006-06-01
7,2006,14,2006-07-01
8,2006,15,2006-08-01
9,2006,10,2006-09-01
10,2006,11,2006-10-01
11,2006,23,2006-11-01
12,2006,29,2006-12-01
1,2007,28,2007-01-01
2,2007,17,2007-02-01
3,2007,10,2007-03-01
4,2007,9,2007-04-01
5,2007,17,2007-05-01
6,2007,14,2007-06-01
7,2007,16,2007-07-01
8,2007,6,2007-08-01
9,2007,9,2007-09-01
10,2007,18,2007-10-01
11,2007,30,2007-11-01
12,2007,26,2007-12-01
1,2008,4,2008-01-01
2,2008,4,2008-02-01
3,2008,4,2008-03-01
4,2008,4,2008-04-01
5,2008,3,2008-05-01
6,2008,3,2008-06-01
7,2008,6,2008-07-01
8,2008,27,2008-08-01
9,2008,12,2008-09-01
10,2008,4,2008-10-01
11,2008,6,2008-11-01
12,2008,14,2008-12-01
1,2009,15,2009-01-01
2,2009,5,2009-02-01
3,2009,6,2009-03-01
4,2009,7,2009-04-01
5,2009,5,2009-05-01
6,2009,9,2009-06-01
7,2009,5,2009-07-01
8,2009,9,2009-08-01
9,2009,7,2009-09-01
10,2009,13,2009-10-01
11,2009,7,2009-11-01
12,2009,17,2009-12-01
1,2010,13,2010-01-01
2,2010,16,2010-02-01
3,2010,16,2010-03-01
4,2010,8,2010-04-01
5,2010,12,2010-05-01
6,2010,9,2010-06-01
7,2010,12,2010-07-01
8,2010,11,2010-08-01
9,2010,11,2010-09-01
10,2010,6,2010-10-01
11,2010,12,2010-11-01
12,2010,9,2010-12-01
1,2011,7,2011-01-01
2,2011,7,2011-02-01
3,2011,9,2011-03-01
4,2011,4,2011-04-01
5,2011,10,2011-05-01
6,2011,14,2011-06-01
7,2011,14,2011-07-01
8,2011,10,2011-08-01
9,2011,8,2011-09-01
10,2011,10,2011-10-01
11,2011,17,2011-11-01
12,2011,10,2011-12-01
1,2012,7,2012-01-01
2,2012,10,2012-02-01
3,2012,10,2012-03-01
4,2012,3,2012-04-01
5,2012,6,2012-05-01
6,2012,8,2012-06-01
7,2012,8,2012-07-01
8,2012,9,2012-08-01
9,2012,15,2012-09-01
10,2012,15,2012-10-01
11,2012,10,2012-11-01
12,2012,10,2012-12-01
1,2013,14,2013-01-01
2,2013,3,2013-02-01
3,2013,8,2013-03-01
4,2013,1,2013-04-01
5,2013,3,2013-05-01
6,2013,8,2013-06-01
7,2013,15,2013-07-01
8,2013,11,2013-08-01
9,2013,17,2013-09-01
10,2013,13,2013-10-01
11,2013,23,2013-11-01
12,2013,28,2013-12-01
1,2014,12,2014-01-01
2,2014,15,2014-02-01
3,2014,16,2014-03-01
4,2014,3,2014-04-01
5,2014,5,2014-05-01
6,2014,9,2014-06-01
7,2014,12,2014-07-01
8,2014,18,2014-08-01
9,2014,12,2014-09-01
10,2014,14,2014-10-01
11,2014,19,2014-11-01
12,2014,14,2014-12-01
1,2015,1,2015-01-01
