GenotypeModel,AttributionModel,Source,UR2006_num,Intervention,m,li,lc,uc,ui
Dirichlet,Linear,Other,-3,2008-2014,0.021397277616959372,5.6634527097864e-4,0.0035102480302669184,0.027195598085652698,0.07783811824420973
Dirichlet,Linear,Other,-3,2005-2007,0.022778818828720904,5.316890205895046e-6,2.789304291443764e-4,0.01718145713087709,0.11948278218701955
Dirichlet,Linear,Other,-2,2008-2014,0.01196279584240331,6.401901169781851e-4,0.0029015639971487583,0.01614500751577334,0.03890677900552127
Dirichlet,Linear,Other,-2,2005-2007,0.0062620916508111454,1.1267037630450118e-5,2.688971486752577e-4,0.0063073133559058865,0.0291504343214517
Dirichlet,Linear,Other,-1,2008-2014,0.0074822983182637574,6.029271809792724e-4,0.0022493622961363836,0.009923043720814668,0.02293237630338083
Dirichlet,Linear,Other,-1,2005-2007,0.002271040056303143,1.9121575447758423e-5,2.0057737596425437e-4,0.0024702354406980574,0.009837149791183318
Dirichlet,Linear,Other,0,2008-2014,0.005169611674644516,4.579994803028366e-4,0.0015725455515509896,0.006713749183583847,0.016031964931470296
Dirichlet,Linear,Other,0,2005-2007,0.0011408809332287687,1.4890098306191729e-5,1.1509781229753944e-4,0.00120373499349272,0.004895529680109094
Dirichlet,Linear,Other,1,2008-2014,0.003892615242883351,2.2045824350092232e-4,0.0010377119807357589,0.005037053496606693,0.012860957154831555
Dirichlet,Linear,Other,1,2005-2007,7.594265798596511e-4,3.978667738992385e-6,5.261850177404605e-5,7.970069588049552e-4,0.0032852716068843524
Dirichlet,Linear,Other,2,2008-2014,0.003172374223419001,9.661208221103007e-5,6.353611798259419e-4,0.003990065560229215,0.011352584152657908
Dirichlet,Linear,Other,2,2005-2007,6.675979612008974e-4,6.737933931868683e-7,1.985996298242925e-5,6.480716203635589e-4,0.003125036012776184
Dirichlet,Linear,Other,3,2008-2014,0.0027857442764152793,3.73045709359502e-5,3.578058546775266e-4,0.003319340530275842,0.011170808009876836
Dirichlet,Linear,Other,3,2005-2007,8.002993746004321e-4,9.50747324896883e-8,6.395246798276665e-6,5.630186921195615e-4,0.004100466628599291
Dirichlet,Linear,Poultry,-3,2008-2014,0.3205878643076265,0.23147735372188433,0.27967414819885494,0.35835665739884415,0.41867365666209083
Dirichlet,Linear,Poultry,-3,2005-2007,0.33764380696761975,0.17938095883309646,0.26347980324892717,0.40340789142500183,0.5209094051218756
Dirichlet,Linear,Poultry,-2,2008-2014,0.36862236170345564,0.2886542368654456,0.33307650495856794,0.4022424805059373,0.4543471394440739
Dirichlet,Linear,Poultry,-2,2005-2007,0.44172058481960935,0.2950226943890993,0.3792531240483696,0.5025335426201353,0.5959343851926097
Dirichlet,Linear,Poultry,-1,2008-2014,0.4166411219133444,0.3478236742409039,0.38685804440060945,0.44549789733901696,0.4892010443322124
Dirichlet,Linear,Poultry,-1,2005-2007,0.5457383852548805,0.42182622320457147,0.49645815046449276,0.5962663823169371,0.6651402427959386
Dirichlet,Linear,Poultry,0,2008-2014,0.46566707453119954,0.40702974361853184,0.44057757680763143,0.489740785189476,0.5266241166246624
Dirichlet,Linear,Poultry,0,2005-2007,0.6463567588560193,0.5508739618869474,0.6100642009032323,0.685036505307444,0.7349458328595929
