Model,Source,Genes,p,fits
Common,Source1,5,0.2018693054172486,0.19529942367646083
Common,Source1,7,0.1957305242087833,0.19435330440832504
Common,Source1,10,0.18180996594942334,0.19325485915381485
Common,Source1,15,0.20486396005077212,0.19249102008679042
Common,Source1,20,0.1729749016123795,0.1927676063987913
Common,Source1,25,0.19712176425066047,0.19374010356826254
Common,Source1,30,0.19749364277247852,0.19585892248913878
Common,Source1,35,0.1916495975604626,0.19905149739801364
Common,Source1,40,0.20645519728098743,0.20218884878732066
Common,Source1,45,0.22193109937970257,0.2047623870392776
Common,Source1,50,0.1981181780782144,0.2073632720833161
Common,Source1,55,0.19623456846151305,0.21023023279666742
Common,Source1,60,0.21717793046484926,0.2130813595057701
Common,Source1,65,0.22107561321566677,0.21565633919768973
Common,Source1,70,0.220527307545694,0.21812240842187652
Common,Source1,75,0.22106586789936833,0.2202633212129353
Common,Source1,80,0.22448876288377878,0.22184499142167532
Common,Source1,85,0.2186643185145382,0.2230878880190467
Common,Source1,90,0.22126754682293281,0.2238383069000578
Common,Source1,95,0.22794182701872517,0.22404581559249528
Common,Source1,100,0.223026785070235,0.22380353001717967
PerSource,Source1,5,0.18874080024589823,0.19641978638107385
PerSource,Source1,7,0.1927674814101878,0.19089407048641752
PerSource,Source1,10,0.17846900645575514,0.18245388414172806
PerSource,Source1,15,0.18850554761502974,0.16779367683576477
PerSource,Source1,20,0.1520465598566888,0.1526554741036197
PerSource,Source1,25,0.1295138533191798,0.1373523036766171
PerSource,Source1,30,0.12299485089981882,0.12055702198331689
PerSource,Source1,35,0.10633840300743608,0.1026965555439168
PerSource,Source1,40,0.09658996903917687,0.08671503722719748
PerSource,Source1,45,0.066161441425656,0.07254300314697035
PerSource,Source1,50,0.05559745200625034,0.060538247151938396
PerSource,Source1,55,0.04588844578447967,0.05267526548741882
PerSource,Source1,60,0.05021942750429652,0.04770563871977356
PerSource,Source1,65,0.04508470800688828,0.04438001280168784
PerSource,Source1,70,0.04586940673397689,0.04344007158394034
PerSource,Source1,75,0.045920614256355755,0.043109277050440306
PerSource,Source1,80,0.04355721082517384,0.041818118729025425
PerSource,Source1,85,0.04235661993132457,0.04101728136079753
PerSource,Source1,90,0.04664126143056346,0.0402103709180339
PerSource,Source1,95,0.04316971720468356,0.03918656775290603
PerSource,Source1,100,0.030705331677391656,0.038203249794409075
Common,Source2,5,0.7861532125746832,0.7945388603568766
Common,Source2,7,0.7953769918923215,0.7958601956248252
Common,Source2,10,0.8087164446563033,0.797455450386023
Common,Source2,15,0.7881575900914533,0.7988420732076131
Common,Source2,20,0.8199278346439918,0.7989785585402019
Common,Source2,25,0.7948812566313248,0.7982595673889937
