Source,UR2006,Season,Model,m,lci,uci,ucl,lcl
Other,Rural,Autumn,Dirichlet,5.629104226001673e-4,2.296662637727523e-6,0.03237875772275924,0.0027239171994938465,9.504794781529209e-5
Other,Rural,Autumn,Island,0.002020718920158766,1.8024666445694277e-5,0.04103152265099414,0.00688508285428094,4.475709099798728e-4
Other,Rural,Spring,Dirichlet,4.772069715249716e-5,1.2475720605995596e-8,0.020240670927290594,5.810208652236113e-4,3.4040585036423484e-6
Other,Rural,Spring,Island,0.0050578781440904835,2.1079292382712214e-6,0.0642544236971538,0.018941020402234308,5.486551360442134e-4
Other,Rural,Summer,Dirichlet,9.488116452963769e-5,2.3479215068351513e-8,0.04166824887646411,0.0012480304570871412,6.596505640402208e-6
Other,Rural,Summer,Island,0.001952672441440939,9.527973828838108e-7,0.055346682650855086,0.011348162746061829,1.5111744193079386e-4
Other,Rural,Winter,Dirichlet,6.606151976285796e-5,1.704242279015653e-8,0.02212162643433508,7.311672768163563e-4,4.7315695505061975e-6
Other,Rural,Winter,Island,0.003263827185526361,3.0072026222762684e-6,0.07097264402244553,0.016727158099901357,3.6798209744097607e-4
Other,Urban,Autumn,Dirichlet,3.7975046965775766e-5,1.7128065472240053e-8,0.010056724861313596,3.6763040236218104e-4,3.0961586941066e-6
Other,Urban,Autumn,Island,0.0018303850168226487,2.1569647375882107e-6,0.04004174353074305,0.007819585674490035,2.753605110726997e-4
Other,Urban,Spring,Dirichlet,1.333567213796689e-6,1.219927594797109e-11,0.006368132561633208,4.63267284447008e-5,2.621347224139054e-8
Other,Urban,Spring,Island,0.017355140795208265,1.5032747338398011e-7,0.05951601688419108,0.030437626929922384,0.005077178711690892
Other,Urban,Summer,Dirichlet,3.0823090557811046e-6,1.8710623882755007e-11,0.058556383047033006,1.4741691180861831e-4,5.391525239655247e-8
Other,Urban,Summer,Island,0.005544235962887471,6.03151336716721e-8,0.0656086959928406,0.025909991164215017,1.1276642987900832e-4
Other,Urban,Winter,Dirichlet,2.774685171208167e-6,2.1077174138431248e-11,0.004996358779355832,6.784305281045715e-5,6.980255187875488e-8
Other,Urban,Winter,Island,0.023684774087016303,1.9361512565595008e-7,0.08977963641614008,0.05095559727318723,8.375503247544945e-4
Poultry,Rural,Autumn,Dirichlet,0.3515083187409626,0.1706859534837494,0.5624763586691242,0.4215584505167799,0.28418394770846844
Poultry,Rural,Autumn,Island,0.3504507805036906,0.18360132013544683,0.5398693593666549,0.4164539670607855,0.28953364026440376
Poultry,Rural,Spring,Dirichlet,0.35142897557406527,0.21994916654564886,0.48833767781544646,0.39942264215329437,0.305060097702525
Poultry,Rural,Spring,Island,0.32176722687457127,0.21108732090379273,0.43976671697303815,0.36182546932487003,0.28234725998645377
Poultry,Rural,Summer,Dirichlet,0.732242123202146,0.5669882462837985,0.8906044363002328,0.787572197020192,0.6758230692101088
Poultry,Rural,Summer,Island,0.6584793964230303,0.5231909503256438,0.7857245041206193,0.7050475013646376,0.6114618708250732
Poultry,Rural,Winter,Dirichlet,0.27982639831226486,0.11900530068241041,0.4656259892356405,0.34338681258254683,0.22098313968313896
Poultry,Rural,Winter,Island,0.22272942340968055,0.09986956822292034,0.37426508059748137,0.2724508382214954,0.17644974000720456
Poultry,Urban,Autumn,Dirichlet,0.3716837484514961,0.25043818137547114,0.5054070351872619,0.4177281171276996,0.32830375125015165
Poultry,Urban,Autumn,Island,0.33136937892168594,0.22733752552451478,0.44628037348445576,0.37032244728311015,0.2932786655136421
