"Time","Location","Month","Intervention","mu","li","ui","xi","yi","Source","Year","Count"
1,0,"1",0,0.875179043086398,0.470882261005904,0.99450535638661,0.835210068482887,0.968383500806981,"Poultry",2005,NA
2,0,"2",0,0.911648876837171,0.479807225855914,0.999720193242549,0.894982010341553,0.99188573290408,"Poultry",2005,4
3,0,"3",0,0.733629778249141,0.240039324404641,0.98486948162517,0.610501940038368,0.899018732716648,"Poultry",2005,5
4,0,"4",0,0.878927859791778,0.344455361881603,0.999625894808976,0.842939521736962,0.990307027798511,"Poultry",2005,7
5,0,"5",0,0.501811554844009,0.0839756356282926,0.954476346989598,0.310844101247326,0.686866388595799,"Poultry",2005,16
6,0,"6",0,0.768284076496142,0.245025615827266,0.996372444532944,0.646090403777301,0.94132174757754,"Poultry",2005,5
7,0,"7",0,0.78945101146699,0.357397423890562,0.992406566828204,0.694975993643396,0.926405363073604,"Poultry",2005,5
8,0,"8",0,0.896053848016686,0.583541483579237,0.998096456151613,0.854561062629097,0.976417954286808,"Poultry",2005,11
9,0,"9",0,0.846129952290435,0.490243421143729,0.995963968092015,0.775856259516009,0.954291910658563,"Poultry",2005,12
10,0,"10",0,0.825319002232426,0.479013557830024,0.991468792978048,0.750088622969645,0.933674871087619,"Poultry",2005,16
11,0,"11",0,0.827867243938856,0.597940921803062,0.979011740720265,0.765316431530373,0.905520461286925,"Poultry",2005,36
12,0,"12",0,0.961221281701826,0.815699136822729,0.999651256950773,0.949055708612638,0.993903842304451,"Poultry",2005,20
13,0,"1",0,0.781844604551838,0.457667658207771,0.969807309121873,0.702842714910128,0.885962145221576,"Poultry",2006,18
14,0,"2",0,0.903659412991062,0.60823517959709,0.999700849945486,0.85582803586102,0.987664727320221,"Poultry",2006,16
15,0,"3",0,0.672146327159709,0.298426084399717,0.955356395731783,0.557713045743217,0.803631683261917,"Poultry",2006,16
16,0,"4",0,0.914783843325041,0.552700158189824,0.9996296739808,0.890160067528453,0.99119837989525,"Poultry",2006,9
17,0,"5",0,0.792395845040114,0.505878722447242,0.974816528865422,0.716043755418185,0.888450393768628,"Poultry",2006,24
18,0,"6",0,0.856195000752306,0.576283763896521,0.9959210772469,0.795336727574945,0.942957676255125,"Poultry",2006,23
19,0,"7",0,0.834325323267744,0.480363723797087,0.993175397163746,0.764358900772962,0.940674902068673,"Poultry",2006,14
20,0,"8",0,0.849651941507185,0.500317573329045,0.997847555683318,0.7737565414666,0.962504408880977,"Poultry",2006,15
21,0,"9",0,0.887339192920397,0.582047938406862,0.996451822792812,0.84325393944117,0.967717582357276,"Poultry",2006,10
22,0,"10",0,0.836393870227633,0.526984480526811,0.986569436828457,0.770794190379946,0.931396428956163,"Poultry",2006,11
23,0,"11",0,0.921634398058744,0.756403845992036,0.994418536418512,0.892157799786925,0.968712143683596,"Poultry",2006,23
24,0,"12",0,0.959261089290734,0.822132573086022,0.999645306729325,0.943130476381378,0.99307314956024,"Poultry",2006,29
25,0,"1",0,0.950458137618025,0.836175088953693,0.996004489023218,0.933189300139686,0.980908236275137,"Poultry",2007,28
26,0,"2",0,0.956173856157418,0.795470847673932,0.999719865398383,0.941508338517966,0.99316586202656,"Poultry",2007,17
27,0,"3",0,0.693214082255784,0.311894281864865,0.955445069844952,0.58543175607675,0.82309797775645,"Poultry",2007,10
28,0,"4",0,0.856287396272394,0.319969406302443,0.999628362585528,0.790796876186387,0.9889067733962,"Poultry",2007,9
29,0,"5",0,0.642534923699416,0.289473536277587,0.942017736814168,0.524992960102545,0.771254225059067,"Poultry",2007,17
30,0,"6",0,0.721881448975965,0.345565939083444,0.993245574018566,0.60538623841359,0.858013662485918,"Poultry",2007,14
31,0,"7",0,0.603295997603224,0.204218087063462,0.967476963769449,0.460078815460665,0.753704830602152,"Poultry",2007,16
32,0,"8",0,0.859378148913965,0.438717680748389,0.997858582907738,0.797312204024584,0.972061869301629,"Poultry",2007,6
33,0,"9",0,0.776403558850058,0.340905675690179,0.995018589145121,0.665680207876275,0.926523327137119,"Poultry",2007,9
34,0,"10",0,0.873672926268612,0.589895491764346,0.99355675108922,0.820151390126437,0.956736335932743,"Poultry",2007,18
35,0,"11",0,0.916637240009024,0.720483334234428,0.994992653391869,0.883987688191763,0.97124736420307,"Poultry",2007,30
36,0,"12",0,0.94684962580178,0.771430518188714,0.999652436574569,0.923847755416446,0.992098824367095,"Poultry",2007,26
37,0,"1",1,0.677595456187119,0.196408866240049,0.965986525537791,0.542957048953688,0.845117840244356,"Poultry",2008,4
38,0,"2",1,0.330094274429754,0.0297320090137628,0.817939584109064,0.155078912540355,0.472019409926367,"Poultry",2008,4
39,0,"3",1,0.226290806874619,0.0185616994915121,0.637898556174072,0.0969947188171012,0.318029294184198,"Poultry",2008,4
40,0,"4",1,0.128217512544582,0.000312862269412581,0.553633008120409,0.0225009307459486,0.179111830684519,"Poultry",2008,4
41,0,"5",1,0.167206327661849,0.00103622492165826,0.671618414067766,0.0365118644255936,0.236768697272115,"Poultry",2008,3
42,0,"6",1,0.419900719983503,0.0427357991871744,0.902163337065095,0.216670436521009,0.606202614525882,"Poultry",2008,3
43,0,"7",1,0.745465707403031,0.356348564843545,0.970149168859151,0.646759478926169,0.873411644364249,"Poultry",2008,6
44,0,"8",1,0.217037973585967,0.0432638321630261,0.473331132547135,0.13216801432095,0.28696954820658,"Poultry",2008,27
45,0,"9",1,0.280884111964126,0.0351711617355049,0.648405991908757,0.152527161786435,0.38558463320971,"Poultry",2008,12
46,0,"10",1,0.753741646150473,0.323876941491,0.977080432468524,0.654121784400997,0.891874684884143,"Poultry",2008,4
47,0,"11",1,0.661167417350521,0.259783860268234,0.946555197970692,0.539838177788077,0.804011344311611,"Poultry",2008,6
48,0,"12",1,0.789037363730758,0.407256113146645,0.983573897337573,0.70299718532424,0.909859518313347,"Poultry",2008,14
49,0,"1",1,0.796444580807562,0.468010755379892,0.976056273776392,0.719142145319998,0.900781415955728,"Poultry",2009,15
50,0,"2",1,0.552845682033215,0.0826341347495772,0.94411877225079,0.36647625214613,0.752017337693107,"Poultry",2009,5
51,0,"3",1,0.47083627969675,0.0890681454463371,0.877191526146046,0.306141388975125,0.632452856007276,"Poultry",2009,6
