"DamID","LambID","Datebirth","Rank","Sex","BirthWeight","Feed","Shorn"
"264/94",22,"19/8","Single","Female",5.5,"HH","Yes"
"207/93",111,"20/8","Single","Male",6.5,"HH","Yes"
"462/95",147,"16/8","Single","Male",6.5,"HH","Yes"
"179/95",150,"16/8","Single","Male",4.5,"HH","Yes"
"118/93",151,"16/8","Single","Female",4,"HH","Yes"
"450/95",211,"18/8","Single","Female",6.25,"HH","Yes"
"84/94",215,"18/8","Single","Male",6.3,"HH","Yes"
"101/95",231,"20/8","Single","Male",6.5,"HH","Yes"
"127/94",236,"20/8","Single","Female",5.75,"HH","Yes"
"22/95",133,"14/8","Twin","Male",5.25,"HH","Yes"
"22/95",134,"14/8","Twin","Male",5.05,"HH","Yes"
"297/94",142,"15/8","Twin","Male",5,"HH","Yes"
"297/94",143,"15/8","Twin","Female",4.95,"HH","Yes"
"220/95",158,"16/8","Twin","Male",5.75,"HH","Yes"
"220/95",159,"16/8","Twin","Male",5.8,"HH","Yes"
"494/95",166,"16/8","Twin","Female",3.05,"HH","Yes"
"494/95",167,"16/8","Twin","Male",3.75,"HH","Yes"
"233/93",172,"16/8","Twin","Female",5.75,"HH","Yes"
"233/93",173,"16/8","Twin","Female",5.35,"HH","Yes"
"9/94",192,"17/8","Twin","Male",5,"HH","Yes"
"9/94",193,"17/8","Twin","Female",4.25,"HH","Yes"
"327/94",200,"17/8","Twin","Female",4.5,"HH","Yes"
"327/94",201,"17/8","Twin","Male",5.5,"HH","Yes"
"406/94",170,"16/8","Twin","Male",6.1,"HH","Yes"
"406/94",171,"16/8","Twin","Female",6,"HH","Yes"
"42/94",126,"11/8","Single","Female",4.25,"HH","No"
"606/95",130,"13/8","Single","Female",6.05,"HH","No"
"147/95",135,"14/8","Single","Female",5,"HH","No"
"6/4",139,"15/8","Single","Female",5.25,"HH","No"
"45/94",140,"15/8","Single","Male",7.25,"HH","No"
"395/93",141,"15/8","Single","Male",6.05,"HH","No"
"180/95",149,"16/8","Single","Male",6.5,"HH","No"
"323/94",204,"17/8","Single","Male",NA,"HH","No"
"205/95",128,"13/8","Twin","Female",4.55,"HH","No"
"205/95",129,"13/8","Twin","Male",4.75,"HH","No"
"343/95",152,"16/8","Twin","Female",5.05,"HH","No"
"343/95",153,"16/8","Twin","Male",5,"HH","No"
"467/95",156,"16/8","Twin","Female",4.25,"HH","No"
"467/95",157,"16/8","Twin","Male",5.25,"HH","No"
"51/95",164,"16/8","Twin","Male",4.5,"HH","No"
"51/95",165,"16/8","Twin","Male",4.5,"HH","No"
"410/94",196,"17/8","Twin","Male",5,"HH","No"
"410/94",197,"17/8","Twin","Male",5.25,"HH","No"
"125/94",198,"17/8","Twin","Male",5,"HH","No"
"125/94",199,"17/8","Twin","Male",5,"HH","No"
"325/93",202,"17/8","Twin","Male",5.7,"HH","No"
"325/93",203,"17/8","Twin","Male",3.3,"HH","No"
"249/93",209,"18/8","Twin","Male",6.6,"HH","No"
"249/93",210,"18/8","Twin","Female",4.8,"HH","No"
"114/94",237,"20/8","Twin","Female",4.15,"HH","No"
"114/94",238,"20/8","Twin","Female",4.25,"HH","No"
"90/94",16,"14/8","Single","Male",6.1,"HM","Yes"
"424/93",23,"15/8","Single","Male",5.5,"HM","Yes"
"62/95",35,"15/8","Single","Male",5.7,"HM","Yes"
"48/95",56,"16/8","Single","Female",5.45,"HM","Yes"
"569/95",61,"16/8","Single","Male",6.75,"HM","Yes"
"20/94",74,"17/8","Single","Male",5,"HM","Yes"
