"Rurality","Source","li","mu","ui","xi","yi"
-3,"Other",5.03288,11.64344838004,19.547698,7.97014,13.853852
-3,"Poultry",2.4680115,11.92658001058,25.309994,5.5775348,14.591862
-3,"Ruminants",49.692263,69.0528902524,85.952934,63.051078,77.5593
-3,"Water",1.787085,7.3770814249032,15.354669,3.6039324,8.7104946
-2,"Other",5.0949089,9.06624178292,13.605494,7.089369,10.46385
-2,"Poultry",17.10014,27.94685832308,39.13167,23.07627,32.28097
-2,"Ruminants",46.734412,57.966028584,69.28579,53.4451,62.711
-2,"Water",1.7459799,5.020871360764,9.0707321,3.1155997,5.9824226
-1,"Other",5.5132675,9.59664750764,14.33122,7.401108,11.07882
-1,"Poultry",21.413369,32.22277086436,43.178258,27.59024,36.71685
-1,"Ruminants",39.97016,50.9979184972,61.95624,46.45025,55.547375
-1,"Water",2.913594,7.182663185232,12.13721,4.874563,8.6621719
0,"Other",6.2965961,11.67846921788,17.851055,8.779715,13.539029
0,"Poultry",22.531655,35.76448386292,49.366536,29.83135,41.159328
0,"Ruminants",32.245216,44.84799491816,57.375136,39.673421,49.873106
0,"Water",2.7298857,7.709051987736,14.064958,4.776735,9.336406
1,"Other",4.7923279,8.26629059324,11.9333,6.584555,9.48025
1,"Poultry",31.430788,39.8111223788,48.201611,36.34347,43.243449
1,"Ruminants",39.159562,47.1134228464,55.036662,43.89373,50.3873
1,"Water",1.998146,4.809164096984,8.245949,3.200655,5.818275
2,"Other",4.65123,8.15033721012,12.00594,6.441954,9.38335
2,"Poultry",37.809171,47.0032987656,56.288755,43.17977,50.831288
2,"Ruminants",31.63271,40.4510511704,49.48476,36.906886,43.979021
2,"Water",1.6771244,4.395312798608,7.6443009,2.8489652,5.307242
3,"Other",4.997599,7.47745512476,9.994173,6.378377,8.4056975
3,"Poultry",45.59681,51.1352893508,56.800843,48.69885,53.45894
3,"Ruminants",34.11906,39.4776514272,44.92017,37.20167,41.740714
3,"Water",0.70959,1.9096041387116,3.374449,1.213651,2.319747
