"ST","Human","Other","Poultry","Ruminants","Water"
5,2,0,0,0,0
21,22,0,9,14,0
25,3,1,5,0,1
38,24,0,2,5,1
42,54,2,7,53,10
43,0,0,0,0,1
45,141,74,154,10,21
48,82,1,98,0,0
50,102,1,68,74,8
51,10,0,1,0,0
52,20,7,11,0,0
53,98,4,50,51,2
61,64,1,7,55,2
81,1,0,0,0,0
137,6,5,1,0,1
177,0,5,0,2,2
190,58,4,13,24,0
208,0,1,0,0,0
219,1,0,0,0,0
227,1,0,2,0,0
233,1,0,1,0,0
249,1,0,0,0,0
257,32,0,24,3,1
320,1,0,0,0,0
353,1,0,0,0,0
354,35,0,19,0,0
356,0,2,3,0,0
393,2,0,0,2,0
403,6,0,0,0,0
422,17,1,2,37,6
436,22,0,0,14,1
449,1,0,0,0,0
451,9,0,23,0,0
459,1,0,0,0,0
474,239,7,60,15,5
486,0,0,5,0,0
508,6,0,0,0,0
520,35,2,18,20,0
526,0,3,0,0,1
528,1,0,0,0,0
535,1,0,7,0,0
538,8,3,0,0,1
577,1,0,1,0,0
578,1,0,0,0,0
583,35,11,52,5,1
585,0,0,1,0,0
618,1,0,0,3,0
658,4,0,3,0,0
677,17,3,1,1,2
681,0,2,0,0,0
682,0,0,0,0,1
692,0,3,0,0,2
693,0,3,0,0,0
694,0,0,0,0,1
696,1,8,3,0,1
699,0,6,0,0,0
704,1,0,0,0,0
709,0,1,0,0,0
710,0,5,0,0,0
825,1,0,3,2,0
829,2,0,0,1,1
854,1,0,5,0,0
890,0,0,0,1,0
977,0,3,0,0,0
991,1,4,0,0,1
992,0,2,2,0,1
995,0,7,0,0,0
996,0,0,0,0,1
1016,1,0,0,0,0
1030,0,0,0,0,1
1033,1,8,2,0,0
1115,0,0,0,2,0
1191,0,0,0,1,0
1223,0,2,0,0,1
1225,0,1,0,0,13
1243,0,0,0,0,3
1255,0,2,0,0,0
1256,0,5,0,0,0
1286,0,3,0,0,1
1304,0,2,0,0,0
1324,0,12,0,0,1
1326,2,0,12,0,0
1336,0,1,0,0,0
1340,0,0,1,0,0
1342,0,3,0,0,0
1457,2,3,0,0,0
1517,14,0,7,12,1
1525,0,6,0,1,0
1581,11,8,38,4,0
1590,3,0,10,0,0
1595,0,1,0,0,0
1707,1,0,0,0,0
1767,2,0,0,0,0
1818,0,0,1,0,0
1900,0,0,2,0,0
1911,0,1,1,0,0
1919,1,0,0,0,0
1956,0,1,0,0,1
1972,1,0,0,0,0
