"ST","Rural","Urban"
5,0,2
21,4,16
25,1,2
38,12,11
42,17,33
45,22,105
48,5,68
50,17,79
51,0,10
52,1,19
53,16,73
61,17,39
81,1,0
137,1,5
190,11,40
219,0,1
233,0,1
249,0,1
257,7,24
320,0,1
353,0,1
354,2,31
393,0,2
403,1,4
422,1,13
436,5,17
449,0,1
451,2,5
474,27,193
508,1,5
520,9,25
528,0,1
535,0,1
538,0,8
577,1,0
578,0,1
583,7,26
618,0,1
658,2,2
677,3,13
696,0,1
704,0,1
825,1,0
829,2,0
854,0,1
991,0,1
1016,0,1
1033,1,0
1326,1,1
1457,0,2
1517,2,12
1581,1,9
1590,0,3
1707,0,1
1767,1,1
1919,0,1
1972,0,1
2026,5,19
2076,0,1
2140,0,1
2212,0,1
2341,0,1
2343,1,3
2345,5,15
2350,1,4
2370,1,1
2380,0,1
2388,4,3
2391,0,1
2397,0,2
2535,0,3
2584,0,2
3072,1,6
3222,1,2
3232,1,1
3233,1,1
3538,3,6
3610,2,1
3676,2,9
3711,2,10
3712,0,3
3713,0,1
3715,1,1
3717,0,3
3718,0,1
3720,0,1
3727,0,1
3728,0,1
3784,0,1
3792,0,1
3793,0,1
3798,2,2
3799,0,1
4009,0,1
4337,0,4
4492,0,4
4505,0,1
4507,0,1
5326,0,1
5649,0,1
6964,0,3
7323,0,1
10007,0,1
10008,0,1
10026,0,1
10027,0,1
10039,0,1
10041,1,0
10042,0,1
10043,0,1
10046,2,0
10057,0,1
10064,0,1
10082,0,1
10083,0,1
10085,0,1
