"ID" "Population" "Meshblock06" "CAU" "WaterZone" "Zone7"
0 126 1872100 1 1 1
1 87 1867600 2 1 1
2 108 1870000 1 1 1
3 117 1866700 2 1 1
4 96 1866802 2 1 1
5 60 1867500 2 1 1
6 36 1856400 3 1 1
7 3 1858600 4 2 1
8 192 1867700 2 1 1
9 3 1870100 1 1 1
10 165 1864100 5 1 1
11 84 1862700 5 1 1
12 45 1860100 6 2 1
13 228 1871102 5 1 1
14 9 2223300 7 2 2
15 156 1861100 8 2 1
16 183 1863400 5 1 1
17 66 1863900 5 1 1
18 21 1860900 8 2 1
19 30 1860004 6 2 1
20 96 1861900 2 1 1
21 21 1863100 5 1 1
22 0 1854602 9 2 1
23 33 1860005 6 2 1
24 198 1863600 5 1 1
25 36 1860800 8 2 1
26 111 1864000 5 1 1
27 183 1858200 10 1 1
28 42 1861000 8 2 1
29 54 1785302 11 3 1
30 48 2222400 7 2 3
31 24 1785301 12 3 1
32 48 1782200 12 3 1
33 75 1785402 12 3 1
34 60 1782000 12 3 1
35 111 1782100 12 3 1
36 60 1782300 12 3 1
37 12 1852900 4 2 1
38 45 1775500 13 2 3
39 9 1776300 13 2 4
40 105 1782903 14 4 1
41 66 2218100 15 5 3
42 39 2223600 16 2 2
43 42 1779800 12 3 1
44 30 1783500 14 4 1
45 21 2217500 15 5 3
46 48 2217300 15 5 3
47 117 2219700 15 5 3
48 6 2217700 15 5 3
49 51 1779600 12 3 1
50 117 1804801 17 6 5
51 36 2220600 7 5 3
52 54 1797600 18 2 5
53 9 1795800 19 2 5
54 51 2220700 7 2 3
55 93 1803300 17 6 5
56 162 1803600 17 6 5
57 141 1797900 18 7 3
58 264 1798504 20 8 3
59 39 1814500 21 2 3
60 297 1803200 22 6 5
61 492 1798506 20 7 3
62 87 1797500 18 8 3
63 84 1803400 17 6 5
64 135 1800505 22 6 5
65 72 2221200 7 2 2
66 81 1804700 17 6 5
67 27 2223400 16 2 2
68 18 2223100 7 2 2
69 240 1814400 21 7 3
70 159 1813700 23 6 6
71 78 1802300 24 6 6
72 129 1802000 24 6 5
73 132 1813000 23 6 3
74 84 1807600 25 6 6
75 117 1851800 26 6 3
76 150 1806700 25 6 6
77 69 1807400 25 6 6
78 249 1851700 26 6 3
79 111 1800600 24 6 5
80 108 1819505 27 6 5
81 126 1783801 28 9 1
82 90 1820200 29 6 5
83 225 1806200 25 6 6
84 234 1807900 25 6 6
85 93 1801400 24 6 6
86 12 1784100 30 9 1
87 201 1806900 25 6 6
88 102 1850500 26 6 3
89 3 1784404 30 9 1
90 30 1847802 26 6 3
91 84 1809600 31 6 6
92 75 1818400 29 6 5
93 135 1829800 32 6 6
94 81 1819800 29 6 6
95 282 1816100 27 6 5
96 144 1848700 26 6 3
97 114 1811700 31 6 3
98 36 1848400 26 6 3
99 156 1848000 26 6 6
100 0 1829200 32 6 6
101 147 1810500 31 6 6
102 114 1849200 26 6 3
103 27 1795700 33 2 5
104 3 1827700 32 6 6
105 123 1849400 26 6 3
106 195 1816400 27 6 5
107 222 1828900 32 6 6
108 102 1817003 27 6 5
109 102 1826200 34 6 6
110 171 1830600 32 6 6
111 132 1822400 34 6 7
112 123 1822800 34 6 7
113 69 1846900 35 6 7
114 99 1815800 29 6 7
115 198 1822900 34 6 7
116 117 1847400 35 6 3
117 69 1846000 35 6 3
118 96 1824400 34 6 6
119 39 1831500 32 6 6
120 171 1846700 35 6 7
121 90 1823800 34 6 7
122 90 1542000 36 10 3
123 117 1835800 37 6 6
124 147 1845300 35 6 3
125 99 1821302 38 6 7
126 0 1844100 39 6 7
127 81 1846400 35 6 7
128 171 1835600 37 6 6
129 123 1823300 34 6 7
130 111 1837401 40 6 7
131 192 1820801 38 6 7
132 96 1832200 41 6 7
133 93 1838600 40 6 7
134 159 1843200 39 6 7
135 282 1837200 40 6 7
136 87 1841000 39 6 7
137 24 1540600 36 10 3
138 207 1844800 39 6 7
139 42 1839816 42 11 7
140 0 1839901 42 11 7
141 129 1831700 41 6 7
142 102 1833400 41 6 7
143 84 1838402 40 6 7
144 123 1842400 39 6 7
145 108 1839103 42 11 7
146 123 1833300 41 6 7
147 72 1840000 39 6 7
148 42 1839814 42 11 3
149 228 1837601 40 6 7
150 174 1837903 40 6 7
151 162 1838302 40 6 7
152 174 1839505 42 11 7
153 162 1837904 40 6 7
154 138 1839515 42 11 7
155 114 1839829 42 11 7
156 102 1839200 42 11 7
157 144 1796700 43 2 4
158 93 1787700 30 2 4
159 18 1757600 44 12 3
160 195 1757500 44 12 3
161 81 1792601 45 11 7
162 18 1758100 44 12 3
163 48 1757400 44 12 3
164 99 1795100 43 2 4
165 27 1542900 46 2 3
166 99 1787600 30 2 4
167 108 1764700 47 13 4
168 153 1758500 48 12 3
169 60 1544500 46 2 3
170 207 1765100 49 13 4
171 129 1528600 50 14 2
172 132 1533700 50 14 2
173 42 1538901 51 2 2
174 78 1789300 30 2 4
175 27 1765500 49 13 4
176 51 1772600 52 13 4
177 6 1543500 46 2 3
178 126 1793600 43 2 4
179 105 1765300 49 13 4
180 72 1528900 50 14 2
181 90 1544400 46 2 3
182 72 1529000 50 14 2
183 138 1787300 30 2 4
184 96 1766500 49 13 4
185 186 1767400 49 13 4
186 36 1532300 50 14 2
187 150 1768000 47 13 4
188 138 1529800 53 14 2
189 81 1771100 54 13 4
190 96 1768500 47 13 4
191 75 1539200 51 2 2
192 111 1532200 50 14 2
193 90 1533100 50 14 2
194 99 1789800 55 15 4
195 111 1530400 53 14 2
196 87 1769202 54 13 4
197 75 1531400 53 14 2
198 102 1761803 56 13 4
199 408 1769102 54 13 4
200 75 1538100 51 2 2
201 69 1790500 30 2 4
202 45 1536700 51 2 2
203 54 1531500 50 14 2
204 51 1789900 30 2 4
205 36 1761300 48 2 4
206 78 1762300 48 16 4
207 36 1534401 51 2 2
208 111 1760700 48 16 4
209 90 1761600 48 13 4
210 48 1537200 51 2 2
211 12 1534700 51 2 2
212 75 1774400 57 2 3
213 21 1536200 51 2 2
214 27 1763202 48 2 4
216 90 1760600 48 2 4
217 108 1534000 51 17 2
224 54 1515800 51 2 2
225 69 1778400 13 2 4
229 12 2229802 58 2 2
230 21 2227900 58 2 2
234 63 1882511 4 2 1
235 33 1773400 57 2 3
236 30 1773200 57 2 3
237 18 2225500 60 18 3
238 54 1777000 13 2 4
239 63 2227600 58 2 3
240 330 1856900 3 1 1
241 12 1859402 4 2 1
242 219 1873005 61 1 1
243 57 1856700 3 1 1
244 267 1873003 61 1 1
245 126 1858700 10 1 1
246 66 2225200 60 18 3
247 33 2228900 58 2 3
248 81 1854400 4 2 1
249 24 2224400 16 19 2
250 0 1855304 6 2 1
251 42 1854200 4 2 1
252 60 2226800 58 2 3
253 0 1855303 6 2 1
254 57 1859903 6 2 1
255 27 1854300 4 2 1
256 117 1855100 4 2 1
257 75 2222300 7 2 3
258 30 2223700 16 2 2
259 45 2224300 16 20 2
260 63 1853700 4 2 1
261 0 1853501 62 2 3
262 0 1785502 11 2 1
263 54 1784403 30 2 1
264 447 1798900 63 28 3
265 69 1805400 17 6 5
266 243 1805500 17 6 5
267 177 1813901 21 21 3
268 75 1813804 21 21 3
269 144 1813802 21 21 3
270 135 1813805 21 28 3
271 189 1805200 17 6 5
272 72 1784402 11 2 1
273 15 1774704 13 2 3
274 132 1808500 25 6 6
275 78 1807800 25 6 6
276 138 1804000 17 6 6
277 78 1799700 24 6 5
278 129 1799900 24 6 5
279 93 1803100 24 6 5
280 18 1808400 25 6 6
281 27 1807700 25 6 6
282 96 1802800 24 6 5
283 120 1808600 25 6 6
284 117 1811300 31 6 6
285 75 1818000 29 6 5
286 138 1830000 32 6 6
287 105 1824800 34 6 6
288 84 1816302 27 6 5
289 120 1848100 26 6 3
290 276 1817101 27 6 5
291 60 1827800 32 6 6
292 48 1816500 27 6 5
293 123 1826300 34 6 6
294 3 1826700 32 6 6
295 6 1831300 32 6 6
296 96 1817200 29 6 7
297 99 1822000 34 6 7
298 90 1794602 33 6 5
299 21 1794601 33 2 5
300 141 1825700 34 6 6
301 54 1542700 46 10 3
302 81 1835400 37 6 6
303 210 1836400 37 6 6
304 45 1793100 64 2 3
305 129 1839902 42 11 7
306 81 1837403 40 6 7
307 0 1837906 40 6 7
308 93 1833900 41 6 7
309 123 1838800 40 6 7
310 144 1840300 39 6 7
311 123 1837402 40 6 7
312 156 1841700 39 6 7
313 15 1841401 39 6 7
315 96 1786000 30 2 4
316 99 1839812 42 11 7
317 126 1839512 42 11 7
318 60 1839102 42 11 7
319 126 1839300 42 11 7
320 147 1839101 42 11 7
321 156 1839401 42 11 7
322 57 1791800 30 9 4
323 75 1543100 46 2 2
324 39 1794500 33 2 5
325 156 1793400 43 22 7
326 60 1757800 44 12 3
327 54 1543800 46 2 3
328 30 1760200 48 2 3
329 195 1758000 64 12 3
330 51 1760100 48 22 3
331 48 1538902 51 2 2
332 36 1759402 64 2 3
333 114 1795300 43 2 4
334 72 1760000 48 2 3
335 39 1544600 46 2 2
336 69 1792301 33 2 7
337 129 1757700 44 12 3
338 42 1794800 43 2 4
339 66 1543600 46 10 3
340 15 1757903 44 12 3
341 51 1788400 30 2 4
342 78 1757901 64 2 3
343 69 1533900 50 14 2
344 153 1766700 49 13 4
345 81 1765201 49 13 4
346 102 1765202 49 13 4
347 126 1529100 50 14 2
348 0 1765900 49 13 4
349 6 1765700 49 13 4
350 48 1544200 46 2 3
351 0 1766200 49 13 4
352 105 1529600 50 14 2
353 207 1767600 49 13 4
354 66 1772000 47 13 4
355 45 1768100 47 13 4
356 114 1768600 47 13 4
357 120 1767701 49 13 4
358 60 1759600 65 13 4
359 69 1538400 51 2 2
360 129 1771200 47 13 4
361 102 1771400 52 13 4
362 87 1771900 47 13 4
363 168 1769600 54 13 4
364 315 1769300 54 13 4
365 57 1761401 48 2 4
366 240 1769400 54 13 4
367 99 1772800 57 2 3
368 153 1530900 53 14 2
369 81 1530600 53 14 2
370 24 1761501 48 2 4
371 132 1531600 50 14 2
372 153 1769203 54 13 4
373 54 1774200 57 2 3
374 42 1537800 51 2 3
375 6 1788700 66 2 4
376 75 1761702 48 2 4
377 225 1531700 50 14 2
378 189 1530500 53 14 2
379 3 1778600 13 2 4
380 9 1773900 57 2 3
381 36 1779200 13 2 3
382 45 1535900 51 2 2
383 15 1515903 51 2 2
384 42 1535800 51 2 2
385 3 1762400 48 2 4
393 12 1778300 13 2 3
394 60 1777800 13 2 3
395 51 1777700 13 2 3
396 27 1534202 51 2 2
397 6 1775800 13 2 3
398 24 2228100 58 2 2
399 9 1882510 4 2 1
400 81 1882100 4 2 1
401 27 1882509 4 2 1
402 24 1882508 4 2 1
403 30 2228000 58 2 2
404 63 1883101 4 2 1
405 36 1773000 57 2 3
406 12 1776500 13 2 4
407 30 1776900 13 2 4
408 282 1859000 10 1 1
409 60 2225700 60 18 3
410 39 2226500 58 18 2
411 3 2224903 16 2 2
412 42 2225900 60 18 3
413 78 2225300 60 18 3
414 72 2227500 58 18 3
415 120 1871400 1 1 1
416 93 1868800 67 1 1
417 177 1867008 2 1 1
418 81 1862305 2 1 1
419 69 1868900 67 1 1
420 114 1862304 2 1 1
421 0 1865400 5 1 1
422 105 1873500 1 1 1
423 87 1868700 67 1 1
424 105 1865200 2 1 1
425 54 1864900 5 1 1
426 129 1867100 67 1 1
427 96 1870700 67 1 1
428 219 1864500 5 1 1
429 72 1868600 67 1 1
430 186 1866100 2 1 1
431 105 1870800 67 1 1
432 108 1867200 67 1 1
433 78 1866000 2 1 1
434 18 1776600 13 2 4
435 75 1855800 9 1 1
436 6 2224102 16 2 2
