"source","mean","lci","uci","total","name"
1,0.7195268856,0.659867975,0.778673025,545,"Before"
2,0.2234832257,0.15800885,0.287694075,545,"Before"
3,0.0225898013,0.0029435065,0.06306282,545,"Before"
4,0.0085232968,0.001634962,0.0227768525,545,"Before"
5,0.0258767902,0.012580995,0.043917595,545,"Before"
1,0.4314309888,0.36691085,0.496548025,870,"After"
2,0.4331088189,0.323719875,0.5214395,870,"After"
3,0.0626673804,0.0077343518,0.156570175,870,"After"
4,0.0239903303,0.0043440908,0.0641320625,870,"After"
5,0.048802481,0.02043803,0.085496025,870,"After"
