"source","mean","lci","uci","total","name"
1,0.7443286059,0.6780358,0.808918125,545,"Before"
2,0.20331045,0.13079165,0.2734352,545,"Before"
3,0.0206640263,0.002533351,0.062419615,545,"Before"
4,0.0080826507,0.0015389763,0.0212860025,545,"Before"
5,0.0236142681,0.01079409,0.0417393175,545,"Before"
1,0.4477321861,0.387712,0.50763805,870,"After"
2,0.4193443918,0.32181275,0.501596225,870,"After"
3,0.0598741841,0.0077703305,0.145829025,870,"After"
4,0.0226316665,0.0039743918,0.06546515,870,"After"
5,0.0504175732,0.0193105825,0.084828695,870,"After"
1,0.5620727583,0.513263975,0.611539025,1415,"All"
2,0.3545690469,0.28564785,0.4155331,1415,"All"
3,0.0339114191,0.0040092443,0.0900741075,1415,"All"
4,0.0148694363,0.002289729,0.0438894175,1415,"All"
5,0.0345773383,0.0130208925,0.059105105,1415,"All"
1,0.6114537508,0.557120975,0.665270125,1050,"Urban"
2,0.299155185,0.226062975,0.364176025,1050,"Urban"
3,0.0352739083,0.004815725,0.0911291025,1050,"Urban"
4,0.0138840278,0.0024194265,0.0414654525,1050,"Urban"
5,0.0402331289,0.017406595,0.064195905,1050,"Urban"
1,0.3425646804,0.24014195,0.4487764,236,"Rural"
2,0.5228290993,0.385019825,0.641949525,236,"Rural"
3,0.0517854609,0.005934959,0.15672655,236,"Rural"
4,0.0321678318,0.0059447763,0.0806128175,236,"Rural"
5,0.0506529275,0.0221177925,0.0921107275,236,"Rural"
1,0.8161887543,0.745879925,0.881921025,419,"UrbanBefore"
2,0.1246419675,0.053155015,0.197117075,419,"UrbanBefore"
3,0.0215408429,0.0027627783,0.065728085,419,"UrbanBefore"
4,0.009939147,0.0018739768,0.0261782025,419,"UrbanBefore"
5,0.0276892874,0.01231539,0.0494900925,419,"UrbanBefore"
1,0.4718973476,0.40404495,0.54052705,631,"UrbanAfter"
2,0.3845089137,0.28339565,0.475586175,631,"UrbanAfter"
3,0.0615683171,0.0080124298,0.148231025,631,"UrbanAfter"
4,0.0297762278,0.0051539083,0.068715635,631,"UrbanAfter"
5,0.0522491941,0.0229273575,0.0904001275,631,"UrbanAfter"
1,0.3966716658,0.22282295,0.580930575,71,"RuralBefore"
2,0.3900833858,0.1342161,0.6166162,71,"RuralBefore"
3,0.1103105888,0.011463755,0.308190175,71,"RuralBefore"
4,0.031056764,0.0051117425,0.0882043175,71,"RuralBefore"
5,0.071877597,0.0294875725,0.136619175,71,"RuralBefore"
1,0.2970966181,0.176805475,0.425767025,165,"RuralAfter"
2,0.5432918316,0.395807975,0.6754762,165,"RuralAfter"
3,0.0483763063,0.005989962,0.1508677,165,"RuralAfter"
4,0.048829475,0.0094154775,0.11382215,165,"RuralAfter"
5,0.0624057679,0.0259135375,0.1175927,165,"RuralAfter"
