"Month","mu","li","ui","xi","yi","Source","Count"
1,0.0162187782481716,0.00162070549360457,0.0587533912179175,0.00630516252570056,0.0204921057529649,"Other",0
2,0.0151734665016296,0.00187786205018944,0.0494076778707824,0.00673518996622463,0.019287491387348,"Other",4
3,0.0207660031575568,0.00218306265258802,0.0818756856963189,0.00787948674764082,0.0251208905833657,"Other",5
4,0.0147375046375573,0.00184494463410835,0.0465856839642829,0.00657923892405426,0.0190728476420086,"Other",7
5,0.0199363612854708,0.00190520724056355,0.0710947953535066,0.0078928259948377,0.025818211042472,"Other",16
6,0.0152790435995459,0.00179388403976694,0.0496220131127851,0.00682183881935182,0.0194699595201174,"Other",5
7,0.0146664810064374,0.00186523813105626,0.0469911101171454,0.00662465497368807,0.0188046612195004,"Other",5
8,0.0136746834044668,0.00163212679760465,0.0443322517249733,0.00626769650133138,0.0175546813676619,"Other",12
9,0.0154727414443112,0.00210577446344215,0.0479375520068843,0.00727322084617785,0.0199923036436569,"Other",12
10,0.015553616640287,0.00203809180126171,0.0493747795157147,0.00713145674779267,0.0202470179252233,"Other",16
11,0.0184384736095853,0.00300733312182713,0.0534620055478245,0.00919796672035584,0.023817074669133,"Other",37
12,0.0132691820728504,0.00170037067322431,0.0416079697566236,0.00615267785895356,0.0171967320097572,"Other",24
13,0.0202776663629301,0.00270124978476726,0.0636965628992325,0.00938436697342008,0.0260389249308389,"Other",20
14,0.0137409329879071,0.00179464749137477,0.0422235341732806,0.00637492810169425,0.0177769618594145,"Other",16
15,0.0149714406606997,0.0020204442920137,0.0452821066366083,0.0070658945837602,0.0194011925196908,"Other",16
16,0.0148358628229641,0.00194885949272516,0.0469244566938972,0.00682027281955045,0.018893583152419,"Other",9
17,0.0147760070693779,0.00197186758780934,0.047086560325969,0.0068613518082338,0.0189049461108221,"Other",24
18,0.0135561678517088,0.00172925233585964,0.0402730340742314,0.0064865888752025,0.0176969901288178,"Other",23
19,0.0124760502064289,0.00154237097986032,0.0386025059977815,0.00562547159233209,0.0161520744274674,"Other",14
20,0.0146468830442794,0.00198417679800191,0.04485407475702,0.00688380835605349,0.0187608130713379,"Other",15
21,0.0152497695859674,0.00185934176501366,0.0485436148020302,0.00686862532293874,0.0194939473154786,"Other",10
22,0.0215119753157007,0.00280410444998643,0.0734490114131021,0.00938194885024802,0.0270770821339675,"Other",11
23,0.018000045668626,0.00207836686143807,0.0586542505354912,0.0078135073605565,0.0229970274508997,"Other",23
24,0.0113877917010393,0.00129937664491109,0.0350752882409732,0.00510376121804413,0.0148260013822166,"Other",29
25,0.014540349829177,0.00157963502792207,0.0468154858618324,0.00624572669059699,0.0189427505142765,"Other",28
26,0.0118107943630586,0.00116672999666413,0.038664498981419,0.00491180471372093,0.0154036473906506,"Other",17
27,0.0152234330669777,0.0020291200509392,0.0469512043573938,0.00703393722803851,0.0197108406047736,"Other",10
28,0.0141926794795364,0.00170142341514577,0.0437419812882503,0.00653805350353296,0.0186431203130793,"Other",9
29,0.0155289063788446,0.00205935405774825,0.0486563520429196,0.00710494590637654,0.0199604732520376,"Other",17
30,0.0147958658624251,0.00194751420885758,0.047045057525916,0.00673705459066363,0.0189922117727432,"Other",14
31,0.0155090389790969,0.00209206610137395,0.0476125044307539,0.00698375493580035,0.0201574079273676,"Other",16
32,0.015161694815731,0.00199405666087215,0.0478808201283306,0.00695241201608965,0.0193809047119376,"Other",6
33,0.0173251603202646,0.00210451913170005,0.0572753045882915,0.00751367029096327,0.0220255679432209,"Other",9
34,0.0134259324044411,0.0017446805949756,0.0414137771928568,0.00626616022335276,0.0172661000288626,"Other",18
35,0.0133544292414969,0.00184639462552129,0.0389483417489912,0.00648560742733716,0.0173680043796412,"Other",30
36,0.0152174213395698,0.00180234992749696,0.0514352717359934,0.00655797329395143,0.0193687604993342,"Other",26
37,0.035076082255964,0.00748163981583867,0.0956646503866695,0.0195952665524616,0.0441130321259952,"Other",4
38,0.0354978869657233,0.00782565739291673,0.0927698260927545,0.0202216288628002,0.0446455967175067,"Other",4
39,0.0348149150462381,0.00722706078373733,0.0924887360031238,0.0196009125775716,0.0437041119912268,"Other",4
40,0.0357346593184083,0.00819161614496691,0.0963916078988849,0.0201502097018766,0.0447857194353822,"Other",4
41,0.0352866283893121,0.00713160807161371,0.0960936510468916,0.0191898043373635,0.0445290346422803,"Other",3
42,0.0354456287155592,0.00754335199071349,0.0938159790544471,0.0197021935952749,0.0446524852254356,"Other",3
43,0.0345194664465035,0.00789943380686073,0.0896458399561145,0.0198140423662161,0.0433876533652536,"Other",6
44,0.0249081319169804,0.00436581366070923,0.0683018919171167,0.0126660887924926,0.0325658967529371,"Other",27
45,0.0339270425228026,0.00716927853087969,0.0923945648232043,0.0189777303048475,0.0424773314609445,"Other",12
